"Rollpix","Rollpix"
"Discount Badge","Discount Badge"
"General Settings","General Settings"
"Enabled","Enabled"
"Enable or disable the discount badge globally.","Enable or disable the discount badge globally."
"Minimum Discount (%)","Minimum Discount (%)"
"Minimum discount percentage to show the badge (1-99).","Minimum discount percentage to show the badge (1-99)."
"Badge Text Template","Badge Text Template"
"Use {discount} as placeholder. Example: {discount}% OFF","Use {discount} as placeholder. Example: {discount}% OFF"
"Badge Position","Badge Position"
"Where to display the badge on the product detail page.","Where to display the badge on the product detail page."
"Where to display the badge in product listings.","Where to display the badge in product listings."
"Badge Style","Badge Style"
"Visual style variant of the badge.","Visual style variant of the badge."
"Right of old price (same line)","Right of old price (same line)"
"Left of old price (same line)","Left of old price (same line)"
"Over image — top left","Over image — top left"
"Over image — top right","Over image — top right"
"Over image — bottom left","Over image — bottom left"
"Over image — bottom right","Over image — bottom right"
"Below price block","Below price block"
"Filled (solid background)","Filled (solid background)"
"Outline (border only)","Outline (border only)"
"Pill (solid capsule)","Pill (solid capsule)"
"Pill Outline (capsule border)","Pill Outline (capsule border)"
"Text Only (no background)","Text Only (no background)"
"Styles - Product Detail Page (PDP)","Styles - Product Detail Page (PDP)"
"Visual styles for the badge on the product detail page.","Visual styles for the badge on the product detail page."
"Styles - Product Listing","Styles - Product Listing"
"Visual styles for the badge in category pages, search results, widgets, etc.","Visual styles for the badge in category pages, search results, widgets, etc."
"Background Color","Background Color"
"Text Color","Text Color"
"Font Size (px)","Font Size (px)"
"Border Radius (px)","Border Radius (px)"
"Padding","Padding"
"Font Weight","Font Weight"
"Normal","Normal"
"Bold","Bold"
"Custom CSS","Custom CSS"
"Add custom CSS to override badge styles for specific store needs.","Add custom CSS to override badge styles for specific store needs."
